site_id,country,lat_deg,lon_deg,max_depth_m,measurement_year,prior_gst_c,mean_kappa_w_m_k,mean_grad_k_per_km,n_samples
CA-9820,Canada,50.21,-66.64,600.0,1998.0,3.833,2.5,13.05,58
CA-9821,Canada,56.33,-62.11,599.52,1998.0,1.19811,2.4,10.7817,68
CA-9822,Canada,56.33,-62.11,641.14,1998.0,0.746589,1.9,10.495,70
CA-9823,Canada,56.32,-62.05,599.76,1998.0,1.0672,2.2,8.88818,56
CA-9824,Canada,56.32,-62.05,599.35,1998.0,1.16157,1.9,8.66348,58
CA-9901,Canada,54.72,-101.5,596.47,1999.0,2.56917,2.5,12.1613,58
CA-9904,Canada,55.2,-101.36,280.0,1999.0,4.119,3.0,11.15,27
CA-9905,Canada,55.2,-101.36,300.0,1999.0,3.804,3.1,12.53,29
CA-9906,Canada,54.77,-101.84,599.14,1999.0,2.13,3.6,11.1492,64
CA-9907,Canada,54.93,-100.56,523.34,1999.0,1.27026,3.4,11.9001,58
CA-9912,Canada,55.75,-104.55,254.64,1999.0,1.84408,2.6,13.7015,24
CA-9913,Canada,55.75,-104.58,275.77,1999.0,1.6046,2.6,14.2525,29
CA-9915,Canada,55.76,-104.56,254.58,1999.0,1.8331,3.4,12.9542,25
CA-9916,Canada,55.75,-104.56,261.89,1999.0,1.90287,4.1,12.5324,26
CA-9917,Canada,56.15,-103.14,225.17,1999.0,1.14099,2.9,17.5515,24
CA-9918,Canada,56.16,-103.12,393.92,1999.0,1.082,2.4,14.6678,38
CA-9919,Canada,56.15,-103.14,253.72,1999.0,1.3115,2.7,18.9246,23
CA-9920,Canada,58.38,-109.54,330.0,1999.0,2.56077,3.5,16.3462,32
CA-9921,Canada,58.23,-109.52,250.0,1999.0,5.341,6.0,6.94,21
CA-9922,Canada,58.23,-109.52,560.0,1999.0,5.4795,6.0,7.2825,50
CA-9923,Canada,58.23,-109.52,400.0,1999.0,4.722,6.0,8.455,38
CA-JM-a,Canada,52.02,-107.12,529.8,1996.5,2.0,1.6,32.0,104
CA-JM-b,Canada,50.92,-106.96,230.1,1999.59,5.0,1.7,26.0,43
CA-Turtle,Canada,49.2,-100.5,208.0,1994.8,3.3,1.2,40.0,132
CA-WOOD,Canada,49.4,-106.4,230.0,1994.0,5.0,3.0,25.0,43
CN-FJ-anxi3101,China,25.23,117.72,530.0,1986.86,18.2,3.22,7.5,47
CN-FJ-joxk4,China,27.18,118.81,357.0,1987.6,17.4709,3.36,27.0118,36
CN-FJ-jy6404,China,27.37,118.3,373.0,1987.66,65.75,3.63,20.0,34
CN-FJ-npyz5,China,26.64,118.18,313.05,1987.73,20.2584,4.59,20.4226,31
CN-FJ-ql17,China,26.33,116.94,430.0,1987.48,18.3,3.74,16.5,40
CN-FJ-sx301,China,26.42,117.77,358.5,1987.75,68.1,2.89,35.0,34
CN-GD-lc3901,China,25.42,113.18,260.0,1988.69,19.75,3.38,14.9,24
CN-HN-cmfu8,China,19.87,109.97,520.0,1987.84,25.22,2.09,20.2,45
CN-JS-dh-2,China,34.43,118.76,469.18,2000.95,15.0,3.4,21.8237,70
CN-JX-14-7,China,28.92,115.02,260.0,1987.45,16.3,3.3,20.5,24
CN-JX-fc-j2,China,28.25,115.82,290.0,1990.76,19.8633,3.28,20.8333,24
CN-JX-gztk40,China,25.75,114.85,360.0,1990.3,20.11,2.18,33.6,34
CN-JX-nc401,China,28.38,115.87,500.0,1990.95,20.46,2.38,19.0,48
CN-JX-pxby508,China,27.53,113.8,210.0,1989.7,19.5,3.9,17.0,18
CN-JX-xs-ck4025,China,29.02,114.37,250.0,1989.9,17.8,2.75,20.9,24
CN-JX-zk1062,China,28.25,115.82,250.0,1990.73,20.11,3.28,13.5,20
CN-JXck46-25,China,27.97,116.33,300.0,1991.0,20.0,2.5,20.0,14
CN-JXck47-48,China,27.97,116.33,294.0,1991.0,16.0,2.5,10.0,34
CN-JXck61-26,China,27.97,116.33,260.0,1991.0,11.5,2.5,30.0,25
CN-JXqj12001-2,China,28.85,115.82,440.0,1991.0,19.0,2.5,20.0,20
CN-JXqj18-6,China,28.08,115.55,250.0,1991.0,19.5,2.5,20.0,12
CN-JXty156-1,China,28.0,115.0,490.0,1991.0,20.0,2.5,10.0,24
CN-JXzk40-11,China,27.97,116.33,300.0,1991.0,17.0,2.5,30.0,26
CN-JXzk42-4,China,27.97,116.33,270.0,1991.0,17.0,2.5,20.0,23
CN-JXzk512,China,27.37,114.7,360.0,1991.0,22.0,2.5,10.0,18
CN-JXzk52-13,China,27.97,116.33,400.0,1991.0,17.0,2.5,10.0,36
CN-JXzk52-6,China,27.97,116.33,390.0,1991.0,14.5,2.5,20.0,31
CN-JXzk59-38,China,27.97,116.33,380.0,1991.0,14.0,2.5,25.0,34
CN-JXzk6702-2,China,27.92,114.98,500.0,1991.0,17.5,2.5,20.0,24
CN-PX202,China,28.27,102.22,440.0,1983.9,17.0,4.36,17.4,37
CN-QD2,China,37.88,92.25,340.0,1991.0,7.0,0.83,40.0,16
CN-QD22,China,38.17,90.65,400.0,1991.0,6.0,0.83,25.0,19
CN-QD26,China,38.0,91.0,260.0,1991.0,6.0,0.83,20.0,12
CN-QD28,China,38.37,91.13,320.0,1991.0,4.0,0.83,20.0,16
CN-QD6,China,38.57,93.33,320.0,1991.0,7.0,0.83,20.0,16
CN-QD637,China,38.7,93.33,320.0,1991.0,5.0,0.83,20.0,16
CN-QDa1,China,38.58,92.4,240.0,1991.0,5.0,0.83,40.0,12
CN-XZ-naqu903,China,31.38,91.88,390.0,1988.0,3.45,3.21,93.8,39
CN-ZJ-sx8701,China,29.23,120.63,410.0,1992.58,18.0,3.82,17.5,39
CN-a24,China,31.0,117.32,390.0,1972.5,13.5,2.5,35.0,37
CN-b1,China,39.7,116.5,220.0,1980.95,15.0,1.49,20.0,17
CN-b15,China,35.1,118.3,300.0,1974.8,14.0,2.5,25.0,21
CN-b3,China,40.68,115.5,250.0,1973.4,19.0,2.1,10.7,21
CN-b6,China,35.6,114.3,320.0,1975.9,17.0,2.23,10.0,29
CN-c2,China,39.5,116.2,300.0,1980.6,12.0,1.6,25.4,27
CN-d13,China,37.0,115.0,300.0,1981.6,14.0,2.0,35.0,15
CN-d9,China,40.5,117.0,370.0,1977.3,18.0,2.5,17.0,31
CN-e4,China,38.72,116.1,410.0,1980.4,13.0,2.0,28.0,38
CN-e6,China,38.97,116.1,470.0,1990.4,13.0,2.0,37.0,44
CN-e7,China,36.25,116.12,490.0,1979.9,13.0,2.0,32.0,45
CN-f1,China,36.48,118.12,460.0,1982.4,12.0,1.5,44.0,21
CN-f2,China,37.15,118.4,320.0,1987.4,12.0,1.5,44.0,13
CN-f4,China,37.0,118.0,500.0,1982.4,12.0,1.6,40.0,24
CN-f8,China,37.0,118.0,490.0,1982.4,13.0,1.76,45.7,20
CN-h1,China,39.92,116.43,450.0,1980.5,13.0,1.2,60.0,38
CN-i5,China,40.55,116.98,210.0,1977.4,16.0,2.5,12.0,20
CN-i6,China,40.55,116.98,240.0,1977.3,16.0,2.5,15.0,22
CN-k6,China,39.3,116.55,230.0,1980.55,13.0,2.5,25.0,16
CN-m2,China,25.04,101.51,400.0,1988.0,19.0,2.5,20.0,30
CN-m4,China,25.57,101.21,490.0,1980.0,17.0,2.5,20.0,26
CN-m8,China,25.04,101.51,400.0,1988.0,19.0,2.5,30.0,29
CN-m9,China,25.58,100.22,410.0,1988.0,17.0,2.5,20.0,22
CN-zk5,China,38.92,117.45,320.0,1990.0,19.5,2.5,30.0,12
CU-BJ-55,Cuba,23.19,-82.03,500.0,1981.0,26.0,1.61,21.2,43
CU-C-357,Cuba,20.04,-76.94,491.42,1991.0,24.0,2.6,19.07,44
CU-CAM-1-1-E,Cuba,21.53,-77.89,220.0,1991.0,24.28,1.4,19.3,21
CU-E-25,Cuba,22.57,-83.94,270.0,1991.0,22.9,4.02,16.07,19
CU-GU-45,Cuba,23.08,-81.32,290.0,1991.0,25.0,1.2,12.62,23
CU-MJ-56,Cuba,21.96,-79.96,280.0,1991.0,23.0,2.75,22.35,28
CU-P-131,Cuba,20.16,-74.78,210.0,1991.0,23.0,2.6,14.54,19
CU-VB-1,Cuba,23.18,-82.09,330.0,1991.0,25.0,1.61,15.56,31
CZ-127127,Czech Republic,50.73,14.87,440.0,1980.49,8.0,3.28,12.0,38
CZ-br-4,Czech Republic,50.27,14.13,310.0,1976.34,9.0,2.21,29.0,30
CZ-bt-10,Czech Republic,49.4,12.78,420.0,1975.25,8.5,2.75,17.0,41
CZ-by-2,Czech Republic,50.25,14.07,490.0,1976.45,10.0,2.24,25.0,48
CZ-chj-3,Czech Republic,49.88,12.65,250.0,1975.1,7.5,2.24,30.0,24
CZ-cn-201,Czech Republic,50.73,13.76,420.0,1972.97,4.0,2.34,26.0,41
CZ-e-5,Czech Republic,50.71,13.85,320.0,1979.93,6.0,2.5,37.0,31
CZ-h-18,Czech Republic,50.07,13.57,390.0,1982.16,5.5,2.5,20.0,36
CZ-hj-1,Czech Republic,50.23,12.86,360.0,1987.82,9.0,2.5,30.0,35
CZ-ho-1,Czech Republic,48.9,14.32,600.0,1972.6,7.0,2.97,17.0,58
CZ-hp-17t1,Czech Republic,49.91,16.6,260.0,1976.57,8.0,2.5,20.0,24
CZ-hp-17t3,Czech Republic,49.91,16.6,290.0,1976.57,8.5,2.5,20.0,28
CZ-hu-7,Czech Republic,50.11,12.81,350.0,1983.64,7.0,2.5,28.0,32
CZ-hu-9,Czech Republic,50.11,12.81,460.0,1983.55,9.0,2.5,28.0,42
CZ-hv-105n,Czech Republic,48.95,16.51,390.0,1976.58,9.0,2.5,34.0,38
CZ-kp-1,Czech Republic,50.09,16.71,520.0,1976.57,7.0,1.81,33.0,46
CZ-kv-8,Czech Republic,49.72,14.05,501.5,1975.1,7.0,2.88,17.0,50
CZ-ls-50,Czech Republic,49.74,12.89,470.0,1977.27,8.5,4.13,16.0,40
CZ-m-36,Czech Republic,50.44,13.03,540.0,1977.24,7.0,2.5,32.0,53
CZ-mi-4b,Czech Republic,50.72,13.73,500.0,1983.34,8.0,2.34,14.0,46
CZ-mj-5,Czech Republic,50.57,14.86,290.0,1963.95,8.0,2.26,27.0,24
CZ-mj-8,Czech Republic,50.36,14.58,310.0,1965.48,8.0,2.31,35.0,27
CZ-nb-26,Czech Republic,50.15,15.7,220.0,1992.38,9.0,2.5,43.0,41
CZ-nb-3,Czech Republic,50.15,15.7,210.0,1992.9,9.5,2.5,46.0,39
CZ-nv-1,Czech Republic,49.39,14.8,600.0,1966.19,10.0,2.31,19.0,23
CZ-pe-1,Czech Republic,50.38,12.78,220.0,1977.8,7.5,2.5,31.0,21
CZ-pe-59-87,Czech Republic,49.77,12.68,265.0,1987.68,8.0,2.5,20.0,50
CZ-sh-9,Czech Republic,50.5,13.82,200.0,1979.0,9.0,2.5,38.0,15
CZ-so,Czech Republic,50.09,15.55,240.0,1992.38,9.5,2.5,31.0,45
CZ-srs-4,Czech Republic,49.72,15.85,320.0,1965.86,7.0,2.5,23.0,30
CZ-st-10,Czech Republic,50.54,16.06,390.0,1972.71,8.0,2.5,20.0,35
CZ-st-9,Czech Republic,50.54,16.07,430.0,1972.39,9.0,2.5,21.0,37
CZ-sv-1-70,Czech Republic,49.82,12.66,600.0,1972.37,7.0,2.5,25.0,58
CZ-to-1,Czech Republic,50.17,16.09,410.0,1963.27,10.0,2.72,40.0,39
CZ-ub-7,Czech Republic,50.62,14.17,270.0,1990.0,9.0,1.9,39.0,22
CZ-v454-1,Czech Republic,49.72,15.85,490.0,1981.8,4.0,2.5,25.0,48
CZ-zc-11,Czech Republic,50.42,12.92,480.0,1979.74,4.5,2.5,40.0,47
CZ-zc-15,Czech Republic,50.42,12.92,310.0,1979.74,6.0,2.5,35.0,30
CZ-zc-16,Czech Republic,50.42,12.92,200.0,1979.74,6.0,2.5,30.0,19
CZ-zc-3,Czech Republic,50.42,12.9,430.0,1979.86,5.6,2.5,33.0,42
FI-Lavia,Finland,61.65,22.68,401.96,1985.0,5.3,3.46,13.0,158
FI-Mantsala,Finland,60.32,25.53,401.31,1991.0,4.2,2.5,19.0,158
FI-Oku737,Finland,62.78,29.22,402.51,1985.0,4.4,2.92,11.0,163
FI-Pyhaj,Finland,63.67,26.08,402.49,1987.0,4.0,3.46,10.0,160
DE-FalkNB3,Germany,49.86,12.2,301.1,1984.0,7.8,3.45,21.0,123
DE-FalkPB7,Germany,49.86,12.2,352.55,1984.0,7.8,3.45,22.0,124
DE-Gries,Germany,49.86,12.5,278.6,1986.0,6.5,3.43,21.0,117
DE-Neusorg,Germany,49.96,12.0,291.66,1986.0,7.0,3.77,20.0,110
DE-Weiss,Germany,50.09,11.91,208.0,1986.0,7.0,3.42,23.0,79
DE-Wuelf,Germany,50.09,11.76,198.4,1986.0,6.8,3.6,17.0,75
IN-AN8,India,19.6,74.79,201.0,1994.0,28.8,1.8,18.4,60
IN-ARB61,India,14.84,74.64,354.01,1988.0,24.7,4.0,15.9,69
IN-B1,India,12.8,77.7,207.0,1994.0,26.6,3.0,7.2,63
IN-B12,India,12.66,77.21,219.0,1994.0,28.5,3.1,4.4,67
IN-B13,India,12.51,77.17,201.0,1994.0,29.2,3.1,4.2,59
IN-B16,India,13.12,77.19,291.0,1994.0,26.8,3.1,6.8,88
IN-B17,India,13.26,77.29,255.0,1994.0,25.6,3.0,11.9,77
IN-B2,India,12.78,77.77,247.0,1994.0,26.8,3.0,8.0,74
IN-B6,India,13.19,77.82,246.0,1988.0,24.7,4.0,15.9,76
IN-B7,India,13.3,77.81,267.0,1994.0,26.9,3.4,10.5,81
IN-B8,India,13.29,77.73,243.0,1994.0,27.0,3.4,10.3,74
IN-BDL168,India,20.51,80.76,373.81,1985.0,25.5,2.7,24.6,34
IN-BDL169,India,20.51,80.76,383.9,1985.0,25.6,2.7,23.8,36
IN-Elur,India,11.8,78.0,300.0,1997.0,30.1,2.2,19.3,94
IN-KPK1,India,12.7,80.0,595.0,1996.0,30.2,2.2,13.8,157
IN-KPK2,India,12.7,80.0,591.0,1996.0,30.2,2.2,13.5,200
IN-KPK3,India,12.7,80.0,383.0,1996.0,30.1,2.2,13.6,124
IN-MDN4,India,20.03,80.72,432.7,1985.0,25.2,3.3,15.3,39
IN-MDN7,India,20.03,80.72,440.24,1985.0,26.0,3.3,15.2,47
IN-MGA18,India,21.18,80.07,260.0,1985.0,28.7,3.8,12.8,50
IN-NRW125,India,22.7,86.27,460.0,1968.0,26.7,3.0,18.1,39
IN-NRW127,India,22.7,86.27,317.0,1968.0,26.9,3.0,17.6,26
IN-NRW92,India,22.7,86.27,459.96,1968.0,27.5,3.0,16.4,46
IN-S47,India,28.2,75.93,600.0,1965.0,28.6,3.3,21.6,58
IN-S48,India,28.2,75.93,455.5,1965.0,28.1,3.3,21.4,45
IN-S49,India,28.2,75.93,485.1,1965.0,28.4,3.3,20.3,47
IE-M06,Ireland,53.22,-8.13,470.0,1983.0,10.7,3.13,17.8,46
IE-N03,Ireland,53.63,-7.76,289.01,1981.0,10.2,2.813,26.1,30
IE-N09,Ireland,53.65,-6.74,343.2,1981.0,10.4,3.232,19.4,36
IE-N18,Ireland,53.41,-7.12,280.0,1983.0,10.3,2.873,20.1,27
IT-Giulianova,Italy,42.72,13.86,200.0,1980.0,14.5,1.8,18.0,37
IT-Rapagnano,Italy,43.17,13.6,190.0,1980.0,13.0,1.7,16.0,35
JP-Aso,Japan,35.99,140.49,216.0,2000.04,13.7404,1.375,17.4,94
JP-Asuka,Japan,35.19,136.79,246.0,1993.12,16.802,2.0,27.0,117
JP-Chiba1,Japan,35.62,140.13,300.0,1998.3,14.6792,1.31,7.7,136
JP-Hanyu,Japan,36.18,139.57,220.0,2003.27,14.4396,1.78,37.6,97
JP-Itabashi,Japan,35.76,139.7,270.0,2001.85,14.4828,1.36,16.8,98
JP-Izumiotu,Japan,34.6,135.46,340.0,2003.74,14.9016,2.74,24.6,148
JP-JinmeiMinami,Japan,35.79,139.84,302.0,2001.85,15.7712,1.31,14.7,144
JP-Kawaguchi,Japan,35.8,139.75,242.0,2003.17,14.766,1.35,18.5,116
JP-Kishiwada3,Japan,34.47,135.41,264.0,2003.73,16.2772,2.47,28.2,122
JP-Kiyose,Japan,35.78,139.53,300.0,2001.81,14.5076,1.36,8.1,132
JP-KoshigayaHigashi,Japan,35.9,139.82,300.0,2003.14,14.6644,1.36,23.9,126
JP-Kounosu,Japan,36.07,139.51,300.0,2003.27,14.774,1.36,21.5,140
JP-Kuki,Japan,36.0,140.13,260.0,2003.17,14.7132,1.33,26.7,118
JP-Nerima,Japan,35.75,139.62,202.0,2001.82,14.16,1.36,15.0,80
JP-Niwakubo2-3,Japan,34.73,135.57,248.0,2003.7,15.1288,1.67,27.8,111
JP-Odai,Japan,35.75,139.77,302.0,2001.85,15.2388,1.36,22.8,122
JP-Ojima,Japan,35.66,139.85,232.0,2001.85,16.9228,1.32,16.8,99
JP-Omiya,Japan,35.91,139.63,284.0,2003.17,14.6284,1.36,10.4,129
JP-Otone,Japan,36.16,139.65,236.0,2003.27,13.632,1.78,34.5,107
JP-Sakai2,Japan,34.6,135.46,246.0,2003.73,16.1052,2.47,41.2,115
JP-Shimoduma,Japan,36.19,139.95,298.0,2003.19,14.1748,1.78,28.8,133
JP-Shinjuku,Japan,35.6,140.12,226.0,1998.33,15.2432,1.31,6.7,106
JP-Tateno,Japan,35.44,140.08,252.0,2002.7,14.5432,1.31,4.2,126
JP-Tatsuta,Japan,35.28,136.89,284.0,1993.09,15.7448,2.0,23.8,139
JP-TochigiFujioka,Japan,36.26,139.65,246.0,2000.2,15.352,1.96,39.5,110
JP-Tokorozawa,Japan,35.8,139.47,300.0,2003.18,14.6396,1.36,5.1,118
JP-Toneri,Japan,35.81,139.77,302.0,2001.85,14.896,1.36,16.0,139
KZ-Tianshan,Kazakhstan,43.08,76.92,290.0,1996.0,0.5,2.5,3.0,18
LS-BTR113,Lesotho,-28.82,28.47,263.1,1988.0,11.2,1.72,32.0,13
LS-BTR123A,Lesotho,-29.15,28.48,320.0,1988.0,11.7,1.74,41.7,16
MN-1331,Mongolia,49.08,114.25,393.5,1985.3,0.3,2.5,27.5,31
MN-Andrush,Mongolia,51.5,118.0,320.0,1986.6,1.2,2.5,25.0,30
MN-C2199,Mongolia,49.08,114.25,576.0,1989.62,3.4,2.5,22.17,20
NA-ANY21,Namibia,-23.53,15.3,242.6,1984.59,25.7,2.8,22.6,22
NA-GA48,Namibia,-20.8,14.45,272.5,1984.55,29.76,2.4,25.4,23
NA-GD49,Namibia,-23.55,15.42,332.0,1984.58,26.9,2.8,21.8,41
NA-HOP15,Namibia,-23.57,15.27,210.0,1984.59,27.107,2.8,23.96,17
NA-OT27,Namibia,-20.88,16.48,200.8,1984.55,24.76,3.4,22.35,17
NA-S407,Namibia,-27.95,16.77,323.9,1984.52,22.89,5.4,18.52,31
NA-S412,Namibia,-27.95,16.77,256.4,1984.52,23.05,5.4,19.78,24
NA-SC1,Namibia,-27.35,18.08,493.6,1984.51,23.346,3.2,20.7,53
NE-Donkolo4,Niger,14.83,0.92,245.0,1972.2,32.3,2.7,7.95,21
NE-K6B,Niger,14.42,0.33,405.0,1972.19,32.5,3.8,5.4,18
PE-LM-18,Peru,-17.27,-70.65,468.0,1979.0,18.6,4.225,16.0,43
PE-LOB525,Peru,-4.45,-81.27,490.0,1979.0,29.0,2.0,13.3,46
PE-LOB527,Peru,-4.45,-81.27,210.0,1979.0,30.0,2.0,15.4,20
PE-PEN742,Peru,-4.28,-81.17,230.0,1979.0,28.0,2.3,18.0,17
PL-Grodz,Poland,50.64,17.69,300.0,1990.0,9.0,2.5,39.0,60
PL-Ptak,Poland,50.74,17.55,300.0,1990.0,9.0,2.5,34.0,56
PL-Walis,Poland,50.31,16.71,292.0,1990.0,8.0,2.5,36.0,57
RO-Stoen,Romania,45.0,26.0,350.11,1989.0,8.8,2.5,19.0,29
RU-14,Russia (Russian Federation),55.5,59.83,600.0,1975.0,4.6,2.83,12.0,29
RU-1701,Russia (Russian Federation),53.5,59.08,460.0,1969.0,3.3,2.14,8.0,22
RU-2066,Russia (Russian Federation),53.42,59.08,600.0,1987.0,3.3,2.51,9.0,29
RU-2s116,Russia (Russian Federation),61.67,59.77,360.0,1985.75,1.2,2.0,6.0,21
RU-2s117,Russia (Russian Federation),61.67,59.77,570.0,1985.75,1.18,2.0,7.3,47
RU-2s139,Russia (Russian Federation),61.67,59.77,460.0,1985.75,1.36,2.0,5.9,44
RU-42,Russia (Russian Federation),54.08,60.83,280.0,1977.0,5.5,2.5,9.0,25
RU-62,Russia (Russian Federation),54.2,60.83,600.0,1990.0,6.0,2.5,11.0,59
RU-Agas3,Russia (Russian Federation),55.0,89.5,220.0,1990.0,1.5,2.33,24.0,16
RU-Aidyrlya-3879,Russia (Russian Federation),52.0,59.83,245.2,1982.0,5.5,3.6,11.6,12
RU-Ak-Sug49,Russia (Russian Federation),59.48,96.67,450.0,1978.0,2.0,3.5,20.0,19
RU-Argagan-2167,Russia (Russian Federation),52.17,58.08,450.0,1978.0,4.86,2.15,9.9,18
RU-Aschebutak-5107,Russia (Russian Federation),51.17,59.17,487.9,1977.0,5.96,2.5,11.57,24
RU-Belor98,Russia (Russian Federation),51.0,82.92,446.31,1990.0,5.0,2.1,20.0,97
RU-Bogatyrevo2045,Russia (Russian Federation),49.83,84.33,570.0,1977.93,6.2,3.4,14.3,53
RU-Bogatyrevo3096,Russia (Russian Federation),49.83,84.33,500.0,1977.92,6.0,3.4,14.0,28
RU-Br3190,Russia (Russian Federation),56.87,60.83,480.0,1977.75,4.78,2.0,4.8,25
RU-Br3420,Russia (Russian Federation),56.87,60.83,480.0,1977.75,4.38,2.0,6.8,25
RU-Bs135,Russia (Russian Federation),56.82,59.0,320.0,1979.83,5.58,2.0,14.8,14
RU-Cherpunia23,Russia (Russian Federation),71.12,141.82,207.0,1986.64,-9.7,2.5,15.6,10
RU-Cherpunia28a,Russia (Russian Federation),71.12,141.77,300.0,1987.03,-9.7,3.0,25.67,14
RU-Cholpon1,Russia (Russian Federation),42.65,77.08,240.0,1974.5,12.5,1.75,36.0,11
RU-Chu2674,Russia (Russian Federation),56.37,60.23,380.0,1995.67,4.00613,2.0,5.41632,37
RU-Ckb14t,Russia (Russian Federation),63.8,123.18,480.0,1988.0,-4.93,2.0,11.2,32
RU-Ckb66m,Russia (Russian Federation),63.73,124.2,350.0,1987.0,-3.47,2.0,6.4,34
RU-Ckb68m,Russia (Russian Federation),63.75,124.07,560.0,1987.0,-2.71,2.0,5.8,54
RU-Ckb9m,Russia (Russian Federation),63.51,123.88,420.0,1987.0,-2.27,2.0,3.9,38
RU-Dg2003,Russia (Russian Federation),56.72,60.08,410.0,1978.58,4.9,2.0,4.4,40
RU-Djerek297,Russia (Russian Federation),50.25,79.75,380.0,1978.0,6.0,2.5,14.5,20
RU-Djetygara-175,Russia (Russian Federation),52.08,61.67,367.1,1982.0,5.33,3.44,12.63,21
RU-Djetygara-350,Russia (Russian Federation),52.08,61.67,502.3,1982.0,5.36,3.23,12.84,27
RU-Dolgaya,Russia (Russian Federation),49.5,83.67,245.66,1990.0,8.0,2.86,14.0,114
RU-Gonba416,Russia (Russian Federation),53.37,83.87,210.0,1990.0,4.4,2.5,31.0,24
RU-Gorn705,Russia (Russian Federation),51.0,81.47,600.0,1990.0,4.0,3.0,14.0,34
RU-Gu3184,Russia (Russian Federation),56.47,60.2,320.0,1980.75,4.02,2.0,4.5,30
RU-Hovu-Aksi582,Russia (Russian Federation),51.17,93.47,450.0,1974.0,0.6,2.5,14.0,38
RU-Ilmenskaya-1,Russia (Russian Federation),55.0,60.17,595.4,1993.0,4.52,1.72,16.48,58
RU-Irba268,Russia (Russian Federation),54.12,92.92,600.0,1990.0,5.0,2.43,19.0,28
RU-Irty1216,Russia (Russian Federation),50.17,82.33,400.0,1990.0,7.6,3.3,15.0,24
RU-Jah699,Russia (Russian Federation),61.18,59.97,510.0,1986.75,1.04617,2.0,4.19891,48
RU-KR8802,Russia (Russian Federation),58.37,60.07,597.0,1994.5,3.6,2.5,8.0,58
RU-KU622,Russia (Russian Federation),58.32,59.84,600.0,1977.55,4.0,2.5,10.3,56
RU-KU649,Russia (Russian Federation),58.32,59.87,600.0,1977.56,3.7,2.5,10.5,52
RU-Khab23,Russia (Russian Federation),54.0,93.75,600.0,1990.0,4.0,2.6,20.0,36
RU-Koktau-1124,Russia (Russian Federation),50.5,59.08,598.0,1976.0,7.84,2.64,9.02,27
RU-Kolyvan15,Russia (Russian Federation),55.4,82.87,240.0,1991.0,4.0,2.13,28.0,21
RU-KromTau-191,Russia (Russian Federation),50.17,58.42,500.0,1981.0,5.94,2.37,14.5,26
RU-KromTau-192,Russia (Russian Federation),50.17,58.42,600.0,1976.0,6.16,2.37,12.9,30
RU-KromTau-216,Russia (Russian Federation),50.17,58.42,360.0,1981.0,5.92,2.21,14.25,18
RU-KromTau-639,Russia (Russian Federation),50.33,58.5,520.0,1981.0,6.37,1.77,15.58,25
RU-KromTau-79,Russia (Russian Federation),50.17,58.42,600.0,1981.0,5.98,1.95,15.16,30
RU-Kruglogorsk-313,Russia (Russian Federation),54.92,59.92,584.7,1975.0,4.93,2.79,7.59,29
RU-Kular201,Russia (Russian Federation),70.65,134.5,220.0,1981.76,-9.5,2.5,30.8,10
RU-Kular307,Russia (Russian Federation),70.63,134.53,210.0,1981.82,-9.5,2.5,4.0,11
RU-Kuv271,Russia (Russian Federation),55.65,60.05,600.0,1978.75,4.14,2.0,9.3,29
RU-Kuv283,Russia (Russian Federation),55.65,60.05,600.0,1978.75,3.92,2.0,11.2,30
RU-Kuvatal-165,Russia (Russian Federation),55.67,60.17,585.0,1975.0,4.3,2.43,11.04,29
RU-Kuzhai-S4,Russia (Russian Federation),52.58,62.75,600.0,1977.0,5.63,2.16,14.3,29
RU-KyzylKibachi-2077,Russia (Russian Federation),50.42,59.08,582.4,1976.0,7.75,2.5,7.27,29
RU-MDV622,Russia (Russian Federation),58.72,59.12,391.5,1997.75,1.0,2.5,8.7,52
RU-Ma8002,Russia (Russian Federation),55.35,60.73,599.7,1994.83,4.6324,2.0,8.0,56
RU-Ma8304,Russia (Russian Federation),55.35,60.73,592.4,1994.83,4.88392,2.0,6.7,59
RU-Ma8505,Russia (Russian Federation),55.35,60.73,598.0,1994.83,4.5174,2.0,8.7,58
RU-Makan-2431,Russia (Russian Federation),52.0,58.25,600.0,1972.0,3.95,3.19,5.5,27
RU-Makan-3276,Russia (Russian Federation),52.0,58.25,340.0,1973.0,5.39,2.94,5.3,17
RU-Md721,Russia (Russian Federation),61.45,59.95,380.0,1989.67,1.19939,2.0,1.2,36
RU-Mednogorsk-935,Russia (Russian Federation),51.5,57.5,598.1,1977.0,5.14,1.83,11.94,28
RU-Mg3,Russia (Russian Federation),53.57,59.27,280.0,1987.33,4.09,2.0,8.5,25
RU-Mitino,Russia (Russian Federation),56.0,38.0,280.0,1985.6,7.7,2.5,9.0,15
RU-Mur10v,Russia (Russian Federation),50.5,35.5,400.0,1993.51,8.0,2.5,19.0,74
RU-NAlexandrinka5937,Russia (Russian Federation),53.58,59.33,600.0,1994.0,4.25,2.62,8.1,59
RU-NorthKhudolaz-184,Russia (Russian Federation),52.95,58.55,598.8,1991.0,5.3,2.46,8.9,57
RU-NorthUchali-1754,Russia (Russian Federation),54.33,59.42,595.0,1993.0,4.5,2.74,8.5,62
RU-Ns2016,Russia (Russian Federation),60.68,59.72,570.0,1984.75,2.31,2.0,3.4,35
RU-Ns2017,Russia (Russian Federation),60.68,59.72,600.0,1984.75,2.81,2.0,1.8,58
